date,followers,location,Tweets,word_count,char_count,avg_word,hastags,numerics,Tweets_clean,ACTIONS,NOUNS
2018-10-20 02:12:35,195,Miraflores,"#ApoyoTotalAFiscalDomingoPerez 
@PoliciaPeru @MininterPeru",3,54,17.333333333333332,1,0,apoyototalafiscaldomingoperez policiaperu mininterperu,,
2018-10-20 02:12:40,293,Tarapoto,"“De las drogas y el amor debes cuidarte...”
Dijo alguien perdiéndose en las drogas por un amor.",10,68,5.9,0,0,“de drogas amor debes cuidarte” dijo alguien perdiéndose drogas amor,"dijo, perdiéndose",amor
2018-10-20 02:12:48,8,Humay,@AlanGarciaPeru Calla la boca rata. Tu tambien vas a caer. Por culpa de ustedes el Perú esta en crisis,11,72,5.636363636363637,0,0,alangarciaperu calla boca rata tambien va caer culpa ustedes perú crisis,caer,"calla, rata"
2018-10-20 02:12:53,107,San isidro,Resulta que el Fiscal que investiga a la SeñoraK y el mismo que interrogó a Alán .. sufre una forjadura de la puert… https://t.co/zhOUcQvyLx,11,95,7.7272727272727275,0,0,resulta fiscal investiga señorak mismo interrogó alán sufre forjadura puert… httpstcozhoucqvylx,"interrogó, resulta, investiga, sufre",
2018-10-20 02:12:53,323,Callao,"@ViliveLive @yonhy_lescano Sí, mira cuánta convicción de estos marchantes https://t.co/icaP18kg0s",8,79,9.0,0,0,vilivelive yonhylescano sí mira cuánta convicción marchantes httpstcoicap18kg0s,mira,"vilivelive, convicción"
2018-10-20 02:12:56,2032,San Juan de Miraflores,"@lauswsmxrsptv Oh , gracias pequeña ,enserio gracias  ❤️",7,51,6.428571428571429,0,0,lauswsmxrsptv oh gracias pequeña enserio gracias ❤️,lauswsmxrsptv,enserio
2018-10-20 02:12:59,24,Ica,"#BUGGIES 
#SANDBOARDING 
#sunset🌅 
#experienciasunicas
@Jhersin091 
paopps 
angiealvaradolemus 
rgaleat en Huacachi… https://t.co/KL3yxplLOg",10,119,11.0,4,0,buggy sandboarding sunset🌅 experienciasunicas jhersin091 paopps angiealvaradolemus rgaleat huacachi… httpstcokl3yxpllog,,"jhersin091, sandboarding, paopps, rgaleat"
2018-10-20 02:13:00,630,Brasile,"gente mas esse livro call me by your name tem a leitura MUITO fluida caralho vc lê e nem percebe parece que leu 5 páginas, mas foram 15",24,121,4.083333333333333,0,2,gente ma esse livro call by your name tem leitura muito fluida caralho vc lê nem percebe parece leu 5 páginas ma foram 15,,"leitura, gente, caralho, páginas, foram"
2018-10-20 02:13:10,1207,Ecuador,Yo se que la vida es aveces muy jodida pero yo ya eh salido de la cama,6,33,4.666666666666667,0,0,vida aveces jodida eh salido cama,cama,
2018-10-20 02:13:18,3971,Santiago de Surco,Consulta para aluien q sabe de alguien q no sabe (yo) acaban de firmar contrato unos chicos de inferiores...es obli… https://t.co/leO8ehA3Jg,15,107,6.2,0,0,consulta aluien q sabe alguien q sabe yo acaban firmar contrato chico inferioreses obli… httpstcoleo8eha3jg,"firmar, sabe","contrato, consulta, httpstcoleo8eha3jg"
2018-10-20 02:13:18,3096,Ecuador,"NACI 1-3 UCAT (F): @elnacionalec sumó 21 partidos seguidos recibiendo al menos un gol en contra, esta marca pasa a… https://t.co/HGSlMplCLb",17,114,5.764705882352941,0,1,naci 13 ucat f elnacionalec sumó 21 partidos seguidos recibiendo menos gol contra marca pasa a… httpstcohgslmplclb,"pasa, sumó, recibiendo, elnacionalec","httpstcohgslmplclb, gol, partidos, marca"
2018-10-20 02:13:19,16,San Pedro de Chana,#Viajando https://t.co/gHos9nYIWQ,2,27,13.0,1,0,viajando httpstcoghos9nyiwq,viajando,
