date,followers,location,Tweets,word_count,char_count,avg_word,hastags,numerics
2018-09-21 22:22:33,14,Lince,"@Politica_LR @larepublica_pe No, eso precisamente no queremos. Lo que queremos es que al menos trabajen 1 hora en s… https://t.co/u0US8tdFdd",20,140,6.05,0,1
2018-09-21 22:22:36,288,Miraflores,"Gol de Maximiliano.

Era el 1-3 #ArribaAlianza #lemos https://t.co/pUBzuFnUXt",8,77,7.555555555555555,2,0
2018-09-21 22:22:37,5984,Jesús Maria,Recuerda visitar el #EspacioFundaciónTelefónicaLima y vivir la experiencia del VII Festival de Animación #Imagina https://t.co/25RJCP0qrK,15,137,8.2,2,0
2018-09-21 22:22:40,933,Lima,"🎶 Sé feliz, feliz, feliz 🎶",6,26,3.5,0,0
2018-09-21 22:22:46,86,San Miguel,"Asi, así, al ritmo de Alianza.
Bien carajo 💙💙💙💙💙",8,48,4.444444444444445,0,0
2018-09-21 22:23:03,946,San isidro,"Q tal semanita (at @MovistarPeru in San Isidro, Lima) https://t.co/GLORxCxcTW",10,77,6.8,0,0
2018-09-21 22:23:06,469,Miraflores,Triunfazo de Alianza en Moyobamba. La figura sin duda @Leaobutron y Lemos volvió a marcar que más se puede pedir!! #ArribaAlianza,21,129,5.190476190476191,1,0
2018-09-21 22:23:06,1236,San isidro,https://t.co/eNhA6I0av7,1,23,23.0,0,0
2018-09-21 22:23:11,18,Lima,@FiscaliaPeru FUERA MIERDA!,3,27,8.333333333333334,0,0
2018-09-21 22:23:16,1193,San Martin de Porres,"@brunohernandezi Yo🙋🏼‍♀️, mi techo es buen point💅🏻",7,50,6.285714285714286,0,0
2018-09-21 22:23:27,107065,Lince,"'despiden', 'dueña', 'deroga' y 'desentiende' es ahora una tendencia en #Lima

https://t.co/oCeJXw8xWx https://t.co/Elz6Euun9J",12,126,8.692307692307692,1,0
2018-09-21 22:23:36,105,Ate,"Ahh!! Me olvidé, tú interés también debe acercarse a los ideales que él persigue, y si sabes de su profesión, finge… https://t.co/hCgNz2hOew",22,140,5.409090909090909,0,0
2018-09-21 22:23:47,180,Jesús Maria,"Que buen triunfo, que gran actuación de @Leaobutron  👏🏼👏🏼👏🏼",10,59,5.555555555555555,0,0
2018-09-21 22:23:51,338,La Molina,"@SergioSolisRodr Que raro, juegué como un enfermo el IV y el V, pero no recuerdo que haya habido cinco años entre ellos.",22,120,4.5,0,0
2018-09-21 22:23:54,623,Santiago de Surco,Triunfazo de Alianza 💙 vamos que vamos! @ClubALoficial,8,54,5.875,0,0
2018-09-21 22:24:10,1201,Barranco,"🎵 Quiero ser como el agua con la que llenas la tina
Y ser el frío que te eriza y pone piel de gallina
Quiero ser la… https://t.co/40JkgxCuKS",26,140,4.035714285714286,0,0
2018-09-21 22:24:24,261,Lima,"TRIUNFAZO de #AlianzaLima este es el equipo profe, mantengamos está base hasta el final.
Sigamos unidos que esto re… https://t.co/UpVGJjZInj",19,140,6.05,1,0
2018-09-21 22:24:35,107065,Lince,"'recurrentes' es ahora una tendencia en #Lima

https://t.co/v3RSfqtYUo https://t.co/WFkF1qfZgV",8,94,9.444444444444445,1,0
2018-09-21 22:24:40,338,La Molina,"@raelarev @douglas_mc2 Urresti podría ser. 
Burbujito Beingolea viene atacando por detrás.",11,90,7.181818181818182,0,0
2018-09-21 22:24:40,1201,Barranco,"🎵 Y sere la cicatriz que tienes sobre la rodilla
Yo quiero ser la que escala contigo hasta la cima
Quiero ser el su… https://t.co/ydIX733P8b",23,140,4.64,0,0
